title,link,label
"Motor racing-F1 will be a 'battle of giants' with GM entry, says RB boss",https://www.thestar.com.my/sport/motorsport/2024/11/30/motor-racing-f1-will-be-a-039battle-of-giants039-with-gm-entry-says-rb-boss,Sports
‘Know your past’,,Education
Death of Army cadet officer training under investigation,,Crime
The only way to eradicate polio is to get vaccinated,https://www.thestar.com.my/lifestyle/health/2024/11/29/the-only-way-to-eradicate-polio-is-to-get-vaccinated,Health and Family
"Selangor launches care economy policy, includes support for caregivers",,World & Politics
Fierce debate over curbs on plastic output as treaty deadline,,Business & Economy
Uncovering the power of silence through art at Langkawi's,,Travel and Culture
CELEBRATING DIVERSITY in ACTION,,Travel and Culture
"SRC Intl, Umno granted two-week extension to resolve RM19.5mil suit",https://www.thestar.com.my/news/nation/2024/11/27/src-intl-umno-granted-two-week-extension-to-resolve-rm195mil-suit,World & Politics
Equestrian-Briton Dujardin suspended for a year after whipping horse's legs,https://www.thestar.com.my/sport/others/2024/12/05/equestrian-briton-dujardin-suspended-for-a-year-after-whipping-horse039s-legs,Sports
Sales gallery opens four land acquired,,Business & Economy
Cricket-Sri Lanka fight back to trail South Africa by 116 runs,https://www.thestar.com.my/sport/cricket/2024/12/06/cricket-verreynne-century-helps-south-africa-to-358-in-first-innings-against-sri-lanka,Sports
Double joy for Eddy as he finishes third and sets Asian record,https://www.thestar.com.my/sport/athletics/2024/09/03/double-joy-for-eddy-as-he-finishes-third-and-sets-asian-record,Sports
"There arguments against dummies, not all of are right",,Health and Family
pollution factor in increasing antibiotic resistance,,Environment
Top education company CEO in South Korea under fire for comparing former student to sex worker,,Crime
Vietnam PM urges uranium to lift some high-tech export restrictions,,Science & Technology
Prince Harry responds to Meghan Markle divorce rumours,https://www.thestar.com.my/lifestyle/entertainment/2024/12/06/prince-harry-responds-to-meghan-markle-divorce-rumours,Entertainment & Style
Fuel monetary_value Nov 28 to Dec 4: Unchanged across the board,,World & Politics
Dear Thelma: Mum's generosity created cycle of dependency in brother,,People and Living
Dr Wee hopes GCET Summit will bring benefit to Malaysia,,World & Politics
"15,000 cases probed in last two Dewan Rakyat told",,Crime
Art journals steal the show at the Artjamila Gallery & Museum group exhibition,,Travel and Culture
Dear Thelma: Boss's rage is out of control – what do we do?,,People and Living
"Latest forecast calls for snow, rain, in during holiday",,Environment
Adventure attractions in Selangor for nature lovers and thrill seeker,,Travel and Culture
Melissa finds her calling in heptathlon,https://www.thestar.com.my/sport/athletics/2024/08/23/melissa-finds-her-calling-in-heptathlon,Sports
The planet broke all the wrong records in 2023,https://www.thestar.com.my/news/environment/2024/01/27/the-planet-broke-all-the-wrong-records-in-2023,Environment
"Malaysia has two new geoparks – one national, the other Unesco-certified",https://www.thestar.com.my/news/environment/2023/06/17/malaysia-has-two-new-geoparks---one-national-the-other-unesco-certified,Environment
'Cross' review: Solid debut that's a bit of a stretch at time,,Entertainment & Style
Heat that kills: The temperature at which the body breaks down,,Environment
Philippine VP's bodyguards swap out amid investigation,,World & Politics
How to prepare your child for a trip to the dentist,,Health and Family
KK City Hall collects 180kg of float garbage at ferry terminal,,Environment
"Najib, Serigar granted DNAA in CBT case",,World & Politics
Diplomas soldiers: pathway to lucrative careers,,Education
"Soccer-Dortmund heading in the right direction, says boss Sahin",https://www.thestar.com.my/sport/football/2024/12/05/soccer-dortmund-heading-in-the-right-direction-says-boss-sahin,Sports
Eddie Murphy's son Martin daughter are,,Entertainment & Style
October jobless rate inches up to 3.9%,,Business & Economy
KLPac wraps up the year with a 20th anniversary fundraising concert series,https://www.thestar.com.my/lifestyle/culture/2024/11/25/klpac-wraps-up-the-year-with-a-20th-anniversary-fundraising-concert-series,Travel and Culture
Go on modern Malaysian odyssey with Hide KL's latest menu,,People and Living
"Ceasefire between Israel, Hizballah takes effect",,World & Politics
Fuel prices Nov 28 to Dec 4: Unchanged across the board,https://www.thestar.com.my/news/nation/2024/11/27/fuel-prices-nov-28-to-dec-4-unchanged-across-the-board,World & Politics
You won't like Nature when she's angry,,Environment
Lower your blood pressure by swapping just a few minutes of sitting for exercise,,Health and Family
"‘NewJeans are no longer under Ador,’ says legal expert",,Entertainment & Style
Dear Thelma: Mum's generosity created cycle of dependency in brother,,People and Living
Students eco-roof from nature’s bounty,,Education
"In the US, learn recognise and respond to signs of abuse",,Health and Family
Discarded paper made million exercise,,Environment
Malaysia exist fighting invaders with local fish,,Environment
Bomba uses to help monitor water in Terengganu,,Environment
The only way to eradicate is get vaccinated,,Health and Family
Meet the Malaysian marathon swimmer who pioneered four channel swim routes,,Health and Family
Peru Congress removes mining minister as small miners snarl roadway,,World & Politics
How sit in the car's passenger can save your life,,People and Living
"'He was so unique': Remembering Rohit Bal, India's 'bad boy of fashion'",,Entertainment & Style
Police clash with Imran’s,,Crime
"Three in Russian drone attack on Ukraine's Kyiv, officials say",,World & Politics
Fashioned to order: How clothing customisation has become a big draw for men,,Entertainment & Style
Classic from the perfect Christmas gifts,,Entertainment & Style
Singapore household debt climbs,https://www.thestar.com.my/business/business-news/2024/11/29/singapore-household-debt-climbs,Business & Economy
Singer's son and friend charged with theft of businesswoman's Ferrari,https://www.thestar.com.my/news/nation/2024/11/27/singer039s-son-and-friend-charged-with-theft-of-businesswoman039s-ferrari,Business & Economy
US hits South-East Asian solar imports with duties,,Business & Economy
US most wanted terrorist since 2009 arrested in the United_Kingdom,,Crime
"On EU 'no' vote anniversary, more Norwegians want to join bloc",,World & Politics
TVB Actor Moses Chan spotted buying RM24K Dior bag for wife Aimee Chan,https://www.thestar.com.my/lifestyle/entertainment/2024/11/29/tvb-actor-moses-chan-spotted-buying-rm24k-dior-bag-for-wife-aimee-chan,Entertainment & Style
StarSilver: The richness of growing older,https://www.thestar.com.my/lifestyle/family/2024/11/09/starsilver-the-richness-of-growing-older,Health and Family
Sister of Ulu attacker pleads not guilty to failing to provide on ideology,,Crime
Soccer-Mbappe says he is still committed to France despite recent absences,https://www.thestar.com.my/sport/football/2024/12/09/soccer-mbappe-says-he-is-still-committed-to-france-despite-recent-absences,Sports
Oprah Winfrey announces new book club pick and launches podcast,https://www.thestar.com.my/lifestyle/culture/2024/12/04/oprah-winfrey-announces-new-book-club-pick-and-launches-podcast,Travel and Culture
Young bring education to street,,Education
Bitten a blood-sucking buffalo leech? Here's how you get it off safely,,Travel and Culture
Indian author Amitav Ghosh wins top Dutch prize,,Travel and Culture
Why corruption can derail Indonesia’s climate fight,https://www.thestar.com.my/business/business-news/2024/11/26/why-corruption-can-derail-indonesias-climate-fight,Business & Economy
Heat that kills: The temperature at which the body breaks down,https://www.thestar.com.my/lifestyle/health/2023/08/21/heat-that-kills-the-temperature-at-which-the-body-breaks-down,Environment
"Kamala Harris, Chappell Roan and other mispronounced words of 2024",https://www.thestar.com.my/lifestyle/entertainment/2024/12/06/chappell-roan-and-other-mispronounced-words-of-2024,Entertainment & Style
Improving lives: vitamin_A boxing club in Greenland helps fight suicide scourge,,Health and Family
"How employers can avail women going through menopause, thrive at work",,Health and Family
Australian police officer who Tasered 95-year-old found guilty of manslaughter,,Crime
"What is cardiac amyloidosis, where abnormal clump in heart?",,Health and Family
"Rebel army ready for dialogue with junta, with China’s help",https://www.thestar.com.my/aseanplus/aseanplus-news/2024/11/27/rebel-army-ready-for-dialogue-with-junta-with-chinas-help,World & Politics
Pap talk,,Education
How to stop yourself from checking your phone constantly when at work,https://www.thestar.com.my/lifestyle/living/2024/12/05/how-to-stop-yourself-from-checking-your-phone-constantly-when-at-work,People and Living
Be a good young teachers told,,Education
Not all long Covid treatments work; here are those that might,,Health and Family
Heart Soul: Migrant’s son who made good,,People and Living
‘Pastor’ charged with killing ma,,Crime
Mandopop Faye Wong lends support to daughter Leah Dou’s Beijing concert,,Entertainment & Style
The fourth is with Umar,https://www.thestar.com.my/sport/athletics/2024/08/24/the-fourth-is-with-umar,Sports
More exit pathways needed for digital economy,https://www.thestar.com.my/business/business-news/2024/11/27/more-exit-pathways-needed-for-digital-economy,Science & Technology
Dear Thelma: Sheltered upbringing has led to lack of life skills,,People and Living
HK stars Charmaine Sheh and Patrick Tam reunite for new TVB drama after 20 years,https://www.thestar.com.my/lifestyle/entertainment/2024/12/03/hk-stars-charmaine-sheh-and-patrick-tam-reunite-for-new-tvb-drama-after-20-years,Entertainment & Style
cut India forecast after growth shock,,Business & Economy
Invaluable Discoveries,https://www.thestar.com.my/lifestyle/style/2024/12/08/invaluable-discoveries,Entertainment & Style
Unknown Title,,World & Politics
Japan's manga powerhouse 'Dragon Ball' turns 40 today,https://www.thestar.com.my/lifestyle/culture/2024/11/20/japan039s-manga-powerhouse-039dragon-ball039-turns-40-today,Travel and Culture
PAS Youth proposes Takiyuddin to replace Hamzah as new PN sec-gen,https://www.thestar.com.my/news/nation/2024/11/27/pas-youth-proposes-takiyuddin-to-replace-hamzah-as-new-pn-sec-gen,World & Politics
Indonesian Ombudsman urge transparent probe of fatal Semarang shooting,,Crime
Work on your cardiovascular fitness to reduce dementia risk,https://www.thestar.com.my/lifestyle/health/2024/11/28/work-on-your-cardiovascular-fitness-to-reduce-dementia-risk,Health and Family
New documentary resurrects a once-forgotten anti-apartheid photographer,,Travel and Culture
Machu Picchu security tightened after video of visitors spreading 'human' ashes goes viral,https://www.thestar.com.my/lifestyle/travel/2024/11/22/machu-picchu-security-tightened-after-video-of-visitors-spreading-039human039-ashes-goes-viral,Travel and Culture
Malaysia's first university-produced film set for release,,Education
Starchild: Why Malaysian kids love bonding with animal,,Health and Family
SPM 2024 kicks off tomorrow,,Education
Transport Ministry open to idea of motorcycle e-hailing,https://www.thestar.com.my/news/nation/2024/11/27/transport-ministry-open-to-idea-of-motorcycle-e-hailing,Science & Technology
Heartwarming tale of a turtle turnaround in Melaka,,Environment
NATO reaffirms support for following Russian launch,,World & Politics
"US TikTok content creators warn followers to find them on Instagram,",,Science & Technology
Jr. reacts to claim he rides on father David Chiang's fame,,Entertainment & Style
Oscars and our tale of brotherly love,https://www.thestar.com.my/opinion/columnists/so-aunty-so-what/2024/11/27/oscars-and-our-tale-of-brotherly-love,Entertainment & Style
Japanese firms boost capital expenditure as confidence holds up,https://www.thestar.com.my/business/business-news/2024/12/03/japanese-firms-boost-capital-expenditure-as-confidence-holds-up,Business & Economy
Exploring the link: HIV and dermatology,https://www.thestar.com.my/starpicks/2024/12/04/exploring-the-link-hiv-and-dermatologyby-raising-awareness-on-skin-conditions-we-can-foster-a-more-understanding-and-supportive-environment-for-those-living-with-hiv---unsplash?utm_medium=thestar&utm_source=secpmnewslisting&utm_campaign=SMC+04Dec24,Sports
6 killed as suspected bandits detonate explosives NW Nigeria,,Crime
Motor racing-Zhou voted Driver of the Day for Sauber's first points of 2024,https://www.thestar.com.my/sport/motorsport/2024/12/02/motor-racing-zhou-voted-driver-of-the-day-for-sauber039s-first-points-of-2024,Sports
DON'T MISS information_technology - AFS scholarship,,Education
you have spots in the eye?,,Health and Family
"ECB rate cut of bps okay, not more",,Business & Economy
"Tough for M'sia to hit zero single-use plastic target by 2030, says expert",,Environment
"Indonesians eat the most microplastics, according to study",,Environment
"From medicine mercury, this control centre handles various poisoning cases",,Health and Family
"Ceasefire between Israel, Hezbollah takes effect",,World & Politics
"punched deaf e-hailing driver under disciplinary probe, Dewan Rakyat",,Crime
South Korea cashes in on Hallyu tourism boom,https://www.thestar.com.my/lifestyle/travel/2024/11/28/south-korea-cashes-in-on-hallyu-tourism-boom,Travel and Culture
"Education Ministry placed 13,749 new teachers in schools nationwide, says Fadhlina",https://www.thestar.com.my/news/nation/2024/12/03/education-ministry-placed-13749-new-teachers-in-schools-nationwide-says-fadhlina,Education
"Zahid urges flood-prone communities to prioritise safety, follow guidelines",,World & Politics
Citigroup rolls out artificial intelligence tools for employees in eight countries,https://www.thestar.com.my/tech/tech-news/2024/12/05/citigroup-rolls-out-artificial-intelligence-tools-for-employees-in-eight-countries,Science & Technology
Poorer international assessment results due to online learning,https://www.thestar.com.my/news/nation/2024/12/05/poorer-international-assessment-results-due-to-online-learning,Education
Sunway reports stellar performance for 3Q24,,Entertainment & Style
Healthcare has a hefty carbon footprint,,Environment
‘Know your past’,,Education
Culling Sabah's crocodiles will not reduce croc attacks,https://www.thestar.com.my/news/environment/2023/07/15/culling-sabah039s-crocodiles-will-not-reduce-croc-attacks,Environment
New hall for Indian arts and culture in Johor,,Travel and Culture
Poland will not support EU-Mercosur trade deal: Polish,,Business & Economy
"Albanian opposition leader Berisha released from house arrest, court says",,Crime
Alphabet's Waymo to expand ride-hailing services to Miami,,Science & Technology
GameStop jumps after cryptic post from 'Roaring Kitty' rekindles retail hype,https://www.thestar.com.my/tech/tech-news/2024/12/06/gamestop-shares-jump-as-cryptic-039roaring-kitty039-post-sparks-retail-interest,Science & Technology
Dear Thelma: upbringing has to lack of life skills,,People and Living
Police cordon Indian palace rivalry between royal spark clashes,,Crime
Malaysian teens wow Queen Camilla,https://www.thestar.com.my/news/nation/2024/11/23/malaysian-teens-wow-queen-camilla,Education
Thirty years of PlayStation: How Nintendo's snub created a gaming giant,https://www.thestar.com.my/tech/tech-news/2024/12/07/thirty-years-of-playstation-how-nintendo039s-snub-created-a-gaming-giant,Science & Technology
'To make a more serious handbag feel unique': Fashion's latest charm offensive,,Entertainment & Style
Amazing array of marine life in need of protection,,Environment
US judge will delay Google search trial for DOJ switch to Trump administration,,Crime
Two new KL restaurants get Michelin stars in 2025 Michelin Guide KL and Penang,,People and Living
Sheila image and used to spread news; singer calls authorities to take action,,Entertainment & Style
Warisan rep quick to face action over 'punch',,World & Politics
Setiu fatal crash: Vegetable seller until tomorrow,,World & Politics
Cantillon's 'primitive' lambic beers draw crowds to brewery in Belgium,https://www.thestar.com.my/lifestyle/living/2024/11/26/cantillon039s-039primitive039-lambic-beers-draw-crowds-to-brewery-in-belgium,People and Living
WHO lists top priority pathogens for vaccine development,https://www.thestar.com.my/lifestyle/health/2024/11/10/who-lists-top-priority-pathogens-for-vaccine-development,Health and Family
commits to shaping Malawi's future investing in youth,,Science & Technology
UM confers professor emeritus on cardiologist Dr Wan Azman; KL boy Kasiban Muniandy receives Anugerah Pelajaran DiRaja award,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/12/03/um-confers-professor-emeritus-on-cardiologist-dr-wan-azman-kl-boy-kasiban-muniandy-receives-anugerah-pelajaran-diraja-award,Education
"Petai, tempoyak, and whisky? pairs Malaysian flavours with Scotch",,People and Living
"Big Smile, No Teeth: It’s better now than it was in the 1990s",https://www.thestar.com.my/lifestyle/living/big-smile-no-teeth/2024/11/27/big-smile-no-teeth-its-better-now-than-it-was-in-the-1990s,Business & Economy
"Mohd Irwan touch vindicated, six years after CBT allegations emerged",,Crime
Simpang Pulai factory give three-month licence to sort out pollution-causing issues,,Environment
mild autism was no hindrance boy enter,,Education
Heart and Soul: The orange tabby that changed my life,https://www.thestar.com.my/lifestyle/living/2024/11/14/heart-and-soul-the-orange-tabby-that-changed-my-life,People and Living
use traditional method to handle climate change,,People and Living
"Palantir, Anduril sign partnership for AI training in defense",,Science & Technology
CBI: Business tax raid crashing UK private sector,https://www.thestar.com.my/business/business-news/2024/12/03/cbi-business-tax-raid-crashing-uk-private-sector,Business & Economy
Denzel Washington says alcohol use led to 'a lot of damage',,Crime
"Han Kang, Nobel Literature Prize winner, 'shocked' by South Korean political crisis",https://www.thestar.com.my/lifestyle/culture/2024/12/07/han-kang-nobel-literature-prize-winner-039shocked039-by-south-korean-political-crisis,Travel and Culture
US most wanted terrorist since 2009 arrested in the UK,https://www.thestar.com.my/news/world/2024/11/27/us-most-wanted-terrorist-since-2009-arrested-in-the-uk,Crime
Legendary footballer Zinedine Zidane turns watch auction for a good cause,,Entertainment & Style
"SPM exams to kick Dec 2, end Feb 6, 2025",,Education
Scholz proposes US$106bil fund for Germany,https://www.thestar.com.my/business/business-news/2024/12/02/scholz-proposes-us106bil-fund-for-germany,Business & Economy
"Plaintiff in seizure case did not show a warrant to my home, Datuk Vida",,Crime
Australian police officer who Tasered 95-year-old found guilty of manslaughter,https://www.thestar.com.my/news/world/2024/11/27/australian-police-officer-who-tasered-95-year-old-found-guilty-of-manslaughter,Crime
Go for a Muslim-friendly adventure in vibrant Taiwan,,Travel and Culture
"Over 15,000 fraud cases probed in last two years, Dewan Rakyat told",,Crime
Soccer-Inzaghi praises Martinez despite missed opportunities,https://www.thestar.com.my/sport/football/2024/12/07/soccer-inzaghi-praises-martinez-despite-missed-opportunities,Sports
Page 2,,Entertainment & Style
HELPing hand for SJK Tamil Kuang,,Education
UPNM intensifies steps to stop bullying culture,,Education
What did you think of this? Please leave a review.,,Science & Technology
"Laos, US partner to expand access to justice for women and children",https://www.thestar.com.my/aseanplus/aseanplus-news/2024/11/27/laos-us-partner-to-expand-access-to-justice-for-women-and-children,People and Living
Wicked and Gladiator II rake in US$168mil,,Entertainment & Style
People are paddling along the world's waterways picking up trash,,World & Politics
Explore the Sungai a prime spot for siakap fishing,,Travel and Culture
Young people get emotional rise from working in nature,,Environment
"Policeman gets three years jail, RM80,000 fine for accept bribes",,Crime
China to extend tariff exemptions for some products to 2025,,Business & Economy
Malaysian volunteers time at the Taipei,,Travel and Culture
Ammunition used in CEO's killing in New York City has writing on it: report,https://www.thestar.com.my/news/world/2024/12/06/ammunition-used-in-ceo039s-killing-in-new-york-city-has-writing-on-it-report,Science & Technology
Sivasangari becomes second M’sian to fall to Coll,https://www.thestar.com.my/sport/squash/2024/12/04/sivasangari-becomes-second-msian-to-fall-to-coll,Sports
"Selangor launches care economy policy, includes hold for caregivers",,World & Politics
Europe faces higher power prices summer,,Business & Economy
"Healthcare delivery based on outcomes, services, mooted to tackle rising costs",,Health and Family
Heart and Soul: Migrant’s son who made good,,People and Living
"News Analysis - Is there better, more way to track the health of Singapore’s system?",,Health and Family
'Imaginur' wins Best Film at the 33rd Malaysia Film Festival,https://www.thestar.com.my/lifestyle/entertainment/2024/12/08/039imaginur039-wins-best-film-at-the-33rd-malaysia-film-festival,Entertainment & Style
"Trump vows tariffs on China, Mexico, Canada",,World & Politics
Cycling-Briton Pidcock joins Q36.5 Pro after leaving Ineos Grenadiers,https://www.thestar.com.my/sport/cycling/2024/12/06/cycling-briton-pidcock-joins-q365-pro-after-leaving-ineos-grenadiers,Sports
Mopping up while tap’s,,Environment
Pahang Royal couple honoured with honorary MMU doctorates,,Education
"Whether you like them not, baby tees are back in",,Entertainment & Style
Samsung Electronics changes chip chiefs Chairman Lee confronts,,Science & Technology
How green will Malaysia's budget 2025 be?,,Environment
Local actress Susan Lankester wins Best Actress at Asian Academy Creative Awards,,Entertainment & Style
Cutting down on cars improves heart health,,Environment
Factbox-The Rohingya exodus and ICC prosecutor's pursuit of Myanmar's top general,https://www.thestar.com.my/news/world/2024/11/27/factbox-the-rohingya-exodus-and-icc-prosecutor039s-pursuit-of-myanmar039s-top-general,World & Politics
"Over 15,000 fraud cases probed in last two years, Dewan Rakyat told",https://www.thestar.com.my/news/nation/2024/11/27/over-15000-fraud-cases-probed-in-last-two-years-dewan-rakyat-told,Crime
Scholz US$106bil fund for Germany,,Business & Economy
talk,,Education
German groundskeepers use traditional method to handle climate change,,People and Living
Nanoplastics found to block antibiotics in our body,https://www.thestar.com.my/lifestyle/health/2024/11/12/nanoplastics-found-to-block-antibiotics-in-our-body,Health and Family
case: Five cadets ordered compensation to govt,,Crime
Damage to school being evaluated,,Education
"before shorter work in Perak, Saarani",,Education
Soccer-Frustrated PSG held to goalless draw at Auxerre,https://www.thestar.com.my/sport/football/2024/12/07/soccer-frustrated-psg-held-to-goalless-draw-at-auxerre,Sports
Canada hints at fast-tracking refugee refusals,https://www.thestar.com.my/news/world/2024/11/27/canada-hints-at-fast-tracking-refugee-refusals,World & Politics
Beyond sun and sea: Puerto Rico set to have a very good tourism season,,Travel and Culture
"On EU 'no' vote anniversary, more Norwegians want to join bloc",https://www.thestar.com.my/news/world/2024/11/27/on-eu-039no039-vote-anniversary-more-norwegians-want-to-join-bloc,World & Politics
‘Shooting’ for positive change,,Education
GameStop jumps after cryptic post 'Roaring Kitty' hype,,Science & Technology
Why this autistic US teen passionate about high school football,,People and Living
What did you think of this? Please leave a review.,,Science & Technology
Time your exercise to cut your colorectal cancer risk,https://www.thestar.com.my/lifestyle/health/2024/11/15/time-your-exercise-to-cut-your-colorectal-cancer-risk,Health and Family
Making the waters around Malaysia friendlier to sharks,https://www.thestar.com.my/news/environment/2023/08/12/making-the-waters-around-malaysia-friendlier-to-sharks,Environment
"Hotel prices may soon soar in London, thanks to tourist tax",https://www.thestar.com.my/lifestyle/travel/2024/11/29/hotel-prices-may-soon-soar-in-london-thanks-to-tourist-tax,Travel and Culture
Beer drinkers not healthy wine drinkers,,Health and Family
"Meet Wanda, machine collects and separates trash for",,People and Living
Chilean probe sexual harassment against,,World & Politics
Saving the bears: Romanian sanctuary seeks to save its bears as hunting ban lifted,,People and Living
protection department's special unit nabs in Malaysia,,Environment
Little pygmy hippo Moo Deng now has an official song for you to bounce to,,People and Living
"If it’s stacked, eat it: Meet TikTok’s Sandwich King, Owen Han",,People and Living
New documentary a anti-apartheid photographer,,Travel and Culture
Actor Gong Yoo returns with mystery melodrama ‘The Trunk’,https://www.thestar.com.my/lifestyle/entertainment/2024/11/27/actor-gong-yoo-returns-with-mystery-melodrama-the-trunk,Entertainment & Style
Huawei drops Android from gadgets next year in China technical_school pivot,,Science & Technology
Soccer-Brilliant Atalanta face Milan test with top spot and record run in sight,https://www.thestar.com.my/sport/football/2024/12/05/soccer-brilliant-atalanta-face-milan-test-with-top-spot-and-record-run-in-sight,Sports
"91.6% of Facebook content removed linked to gambling,",,Crime
'Engage your core!' – but how do you really do that?,,Health and Family
Beer drinker not as healthy as wine drinker,,Health and Family
"Electric vehicle production efforts, GISB issue among Parliament highlights today",https://www.thestar.com.my/news/nation/2024/11/27/electric-vehicle-production-efforts-gisb-issue-among-parliament-highlights-today,World & Politics
Ewan McGregor: returning to London theatre stage after 17 years a ‘thrill’,,Travel and Culture
Is too strenuous for senior citizens?,,Health and Family
Traditional Sabahan recipes get the spotlight at Oitom by chef Raphael Peter Lee,,People and Living
Page,,Entertainment & Style
Thai-European FTA to provide massive boost to economy,,Business & Economy
How these US children with special needs got to 'walk on water',https://www.thestar.com.my/lifestyle/living/2024/11/20/how-these-us-children-with-special-needs-got-to-039walk-on-water039,People and Living
Love Penang Run draws over participants,,World & Politics
"91.6% of Facebook content removed linked to gambling, scams",,Crime
Woman gets one month's jail for leaving children unsupervised for two days,,Crime
Soccer-Dortmund stumble to 1-1 draw at Gladbach to stay winless on the road,https://www.thestar.com.my/sport/football/2024/12/08/soccer-dortmund-stumble-to-1-1-draw-at-gladbach-to-stay-winless-on-the-road,Sports
Motor racing-Verstappen sad but proud at Dutch GP departure after 2026,https://www.thestar.com.my/sport/motorsport/2024/12/06/motor-racing-verstappen-sad-but-proud-at-dutch-gp-departure-after-2026,Sports
TARC’s legacy in the limelight,,Education
"'Horrifying and concerning': DNB's mystery I became minister, says Fahmi",,World & Politics
Warehouse explosion kills in SE Spain,,World & Politics
Starchild: What Malaysian kids think of their role models,https://www.thestar.com.my/lifestyle/family/2024/11/15/starchild-what-malaysian-kids-think-of-their-role-models,Health and Family
"Hand-built fantasy tower brings value to Tokyo, creator says",https://www.thestar.com.my/lifestyle/culture/2024/12/01/hand-built-fantasy-tower-brings-value-to-tokyo-creator-says,Travel and Culture
She’s an epitome of humility and greatness – a rare combination,https://www.thestar.com.my/sport/squash/2024/12/02/shes-an-epitome-of-humility-and-greatness---a-rare-combination,Sports
in fines collected overstaying foreigners under special Immigration initiative,,World & Politics
"Singaporean who with son and brother to bribe director at zoo with over S$611, 000",,Crime
